tick,t_int,lat,lon,alt,heading,callsign,is_attack,n_sv,cn0_mean,cn0_std,cn0_min,cn0_max,doppler_std,pseudorange_std,error_flag_any,sqm_peak_mean,sqm_peak_std,sqm_asym_mean,sqm_asym_max,sqm_sec_peak_mean,sqm_sec_peak_max,sqm_left_5_mean,sqm_right_5_mean,power_2MHz,power_4MHz,power_8MHz,clock_error_m,clock_drift_mps,position_drift_m,speed_ecef,clock_error_d_dt,Carrier_Doppler_hz_ch0,Carrier_Doppler_hz_ch1,Carrier_Doppler_hz_ch2,Carrier_Doppler_hz_ch3,Carrier_Doppler_hz_ch4,Carrier_Doppler_hz_ch5,Carrier_Doppler_hz_ch6,Carrier_Doppler_hz_ch7,Pseudorange_m_ch0,Pseudorange_m_ch1,Pseudorange_m_ch2,Pseudorange_m_ch3,Pseudorange_m_ch4,Pseudorange_m_ch5,Pseudorange_m_ch6,Pseudorange_m_ch7,Carrier_phase_cycles_ch0,Carrier_phase_cycles_ch1,Carrier_phase_cycles_ch2,Carrier_phase_cycles_ch3,Carrier_phase_cycles_ch4,Carrier_phase_cycles_ch5,Carrier_phase_cycles_ch6,Carrier_phase_cycles_ch7,EC_ch0,EC_ch1,EC_ch2,EC_ch3,EC_ch4,EC_ch5,EC_ch6,EC_ch7,LC_ch0,LC_ch1,LC_ch2,LC_ch3,LC_ch4,LC_ch5,LC_ch6,LC_ch7,PC_ch0,PC_ch1,PC_ch2,PC_ch3,PC_ch4,PC_ch5,PC_ch6,PC_ch7,PIP_ch0,PIP_ch1,PIP_ch2,PIP_ch3,PIP_ch4,PIP_ch5,PIP_ch6,PIP_ch7,PQP_ch0,PQP_ch1,PQP_ch2,PQP_ch3,PQP_ch4,PQP_ch5,PQP_ch6,PQP_ch7,TCD_ch0,TCD_ch1,TCD_ch2,TCD_ch3,TCD_ch4,TCD_ch5,TCD_ch6,TCD_ch7,CN0_ch0,CN0_ch1,CN0_ch2,CN0_ch3,CN0_ch4,CN0_ch5,CN0_ch6,CN0_ch7
0,0,52.165,20.967,9500.0,327.0,LOT283,0,11.0,46.0305,2.8315,41.8363,51.694,90.3885,2.1358,0.0,0.9874,0.0707,0.0171,0.0695,0.4073,0.5196,0.4066,0.4257,-44.7428,-45.0478,-48.4369,-2.7913,-0.2935,1.717,218.2248,-0.3173,-1694.4396,411.0361,-577.5234,1332.5615,795.646,-1999.1174,748.6443,1858.6191,22645053.7043,20694334.3424,21015424.2053,20896055.719,20742684.0193,22341109.7431,23168308.0322,21534193.7212,-113798.7906,-1267761.2044,375973.9756,-1114601.9865,331417.477,1472059.6023,-535207.2641,745771.1392,838.8665,727.6877,900.577,784.4454,833.8703,816.1138,1062.3405,711.2896,768.3795,970.9851,705.8195,722.838,951.918,935.6215,981.4963,838.7771,1585.498,1332.7478,1398.8523,1447.5117,1690.7049,1430.2958,1605.0202,1517.1706,1505.6018,1403.1854,1425.8173,1458.8408,1620.22,1443.0974,1705.8951,1351.7724,-28.0249,-81.8612,-66.8217,-159.0745,-270.4319,-80.0908,137.7501,-184.6143,0.0357,-0.0737,-0.0516,-0.0355,-0.0316,0.0311,-0.091,-0.004,48.9524,43.3861,41.6873,45.0083,44.7183,44.893,47.4339,43.3314
1,1,52.17612,20.95443,9520.0,327.0,LOT283,0,10.0,44.7745,1.9694,40.1831,50.3157,77.0899,2.3863,0.0,0.9933,0.0493,-0.0011,0.1273,0.5197,0.5104,0.396,0.4638,-44.8444,-47.3038,-50.2928,4.0071,-0.2599,1.4111,218.454,0.0739,824.5268,-3474.2026,616.965,1020.6597,1835.3978,-692.9799,-46.9966,-1133.9212,22985597.0559,21785572.7372,20819636.5531,22040779.1085,22167439.4838,24392926.0904,22677843.0609,20521444.4728,-99688.2061,-493065.2268,-421586.1411,602807.2481,482711.7735,1340952.4112,1340301.8752,-137389.7007,789.3106,673.1811,671.3876,879.2577,879.2228,922.7339,646.943,956.7054,860.4063,789.011,697.0614,760.0667,796.5203,944.5602,891.729,706.1427,1308.9001,1432.0781,1428.4729,1449.854,1298.6643,1510.3436,1454.2849,1575.128,1744.6968,1427.7973,1569.0737,1582.0707,1619.5115,1150.1687,1320.3498,1641.7331,-100.6904,175.5936,257.5012,-191.4331,60.1324,138.8529,-209.2329,-67.4167,-0.0621,0.0098,-0.0027,-0.0069,0.0433,0.0638,-0.0078,-0.1247,45.5714,44.4278,42.5261,45.0226,43.3082,49.9979,42.4006,44.3688
2,2,52.18724,20.94186,9539.7,327.0,LOT283,0,10.0,48.3952,1.8192,44.234,52.462,78.9461,1.9763,0.0,1.0012,0.0448,0.014,0.052,0.3703,0.5656,0.4062,0.4356,-42.5899,-46.1185,-48.5303,-3.3415,-0.41,1.7975,223.6195,-0.2233,1803.0342,659.0079,-1980.5268,-2458.598,178.6517,-1355.6657,1327.9714,1434.2509,23909185.7203,23422763.5885,19413851.7134,20544279.3299,23312750.2705,22261273.9896,21325336.3455,21107960.3989,1077309.6303,694887.7493,906554.0939,662403.1955,1760065.7707,881611.1737,-421008.9497,-903824.2722,778.8436,744.7479,756.8256,751.2914,872.2812,785.6046,657.3155,846.7216,857.2559,960.145,839.0077,701.9971,817.8231,660.9938,846.0024,804.4366,1600.0045,1693.4246,1290.7005,1564.8408,1480.6879,1585.0878,1499.8124,1722.75,1779.1463,1440.7742,1726.9178,1120.5675,1548.0658,1794.4553,1575.7222,1267.1048,194.3304,-234.1683,0.5957,37.7381,30.7077,-56.8404,58.2259,-134.78,-0.0516,-0.0171,-0.0387,0.0666,0.0437,-0.0389,-0.0633,0.0594,45.3089,45.9383,46.5827,42.9089,42.6883,46.7195,47.4585,44.5974
3,3,52.19836,20.9293,9559.1,327.0,LOT283,0,11.0,42.8354,2.1737,38.4586,47.7036,84.5556,2.1786,0.0,1.0027,0.0652,-0.0033,0.0375,0.5576,0.5205,0.357,0.4141,-42.3765,-45.5342,-47.3886,-6.5739,0.485,1.649,218.8117,0.1751,-553.3624,1213.5789,2191.3883,-1705.8595,-1906.2494,1420.602,917.4439,278.0308,24762316.2772,21784532.9818,20571996.8819,24547598.6494,22604288.3977,24883056.3281,20326611.6565,22487358.5629,-1069371.9297,636721.4188,-295386.596,-222247.7387,440178.8152,-1116448.7667,-1083568.5948,443977.8175,582.9924,707.7835,978.6435,930.269,954.0154,883.8542,641.9656,575.7201,841.2345,744.8046,817.0127,645.2809,724.3635,828.7975,618.1271,922.0366,1552.238,1526.9248,1542.1192,1283.384,1553.8719,1691.6003,1760.0594,1532.3939,1431.6084,1873.4024,1841.883,1551.3186,1409.9203,1425.1374,1476.4458,1570.8674,-5.4754,-7.3011,163.1638,243.3463,122.91,197.4572,143.8771,72.9386,-0.0384,0.0038,0.057,0.0762,-0.0319,-0.0809,0.0036,0.016,42.8921,45.3901,43.9561,49.4186,44.3428,45.3519,45.9627,45.5678
4,4,52.20948,20.91673,9577.9,327.0,LOT283,0,12.0,45.0544,2.5756,39.5993,49.9511,79.9246,1.3907,0.0,0.9795,0.0536,0.038,0.0693,0.4406,0.5542,0.4066,0.4145,-43.1289,-45.1766,-46.6849,-2.3031,-0.3239,2.0181,217.483,-0.1166,-939.3684,152.5476,630.2004,851.8154,-2757.5115,-24.5378,-2287.4945,-1886.6297,21631977.6095,20715465.8053,22102415.9171,22020573.8158,22301295.2238,24410273.8457,22549788.8571,22184501.986,-632158.6714,111199.8829,-2003827.694,-1547093.0824,689625.5816,358152.8155,923092.305,2144362.4499,795.4218,700.271,884.7642,845.5468,892.7729,1027.6072,686.3394,753.5997,1027.9452,760.8102,828.3297,526.7353,677.1203,855.843,852.737,678.9118,1124.0609,1334.4505,1571.683,1492.5588,1526.4217,1692.2831,1573.7672,1484.2517,1440.0725,1621.1972,1418.5504,1617.3766,1395.8254,1157.804,1704.0864,1479.2413,140.2663,-119.8518,-313.9382,-283.3958,-40.1996,-304.1098,-84.3825,-99.444,-0.0897,0.0413,0.046,0.0149,-0.0458,-0.0912,-0.0307,0.0134,46.9815,42.093,42.6399,43.7659,43.8534,43.3209,50.3253,44.5194
5,5,52.2206,20.90416,9595.9,327.0,LOT283,0,11.0,44.2022,2.5207,38.9338,48.5998,69.5397,2.3994,0.0,0.9939,0.0646,0.0767,0.0617,0.5171,0.6836,0.3345,0.3646,-45.8138,-45.5828,-51.64,-4.9647,0.1939,0.87,224.2515,0.003,1851.1105,448.2413,323.8667,-3568.8689,-18.3801,-993.7638,-1482.66,564.2521,20712146.0535,22251326.7255,21667190.8374,20641679.5711,20561569.9098,21411828.1641,23562669.2614,20829343.203,322508.6838,637494.9535,-205096.2091,-233698.0203,-556554.3032,-122650.8271,852880.7738,-845816.8305,713.0536,796.4971,794.3361,632.7322,785.1604,762.6209,760.0791,752.3689,952.9185,837.4128,649.7178,657.8972,863.9123,791.1095,842.8248,879.1027,1904.9312,1472.1844,1207.7043,1485.855,1465.7333,1583.2226,1474.2085,1729.5233,1490.9677,1384.0472,1393.9423,1371.2016,1524.4076,1549.1649,1812.5871,1356.3019,-58.3574,46.6836,-18.6876,-40.7063,46.6848,312.0912,69.2304,-142.3604,-0.0132,0.0652,-0.0554,0.0995,-0.0646,0.0049,0.0146,-0.0173,48.0857,42.7089,44.2436,46.4061,45.9976,45.2451,47.5866,45.2302
6,6,52.23172,20.89159,9612.9,327.0,LOT283,0,10.0,47.9506,2.7053,43.0538,53.5286,64.366,2.6667,0.0,0.9984,0.041,0.0074,0.1031,0.4286,0.6095,0.3589,0.3827,-42.4916,-46.0346,-49.1708,0.8041,-0.1138,2.9111,220.5707,-0.0261,-1063.4986,34.3273,-383.5571,618.4742,-2714.4356,2544.866,-2244.6539,-675.2993,24297338.8585,21032285.7955,20891326.3345,20109228.4997,22272430.8228,22418042.3605,18315814.0671,21716910.798,980450.9741,-578025.0706,92331.144,-84980.2586,-1194684.6099,-11843.4985,97027.0199,1511462.6514,707.2226,667.8699,748.7304,734.8407,841.5014,678.4683,647.8353,714.1318,743.9715,882.4352,811.9365,611.5911,764.4105,965.2607,916.4309,793.0318,1681.0343,1565.5768,1313.1882,1346.9968,1600.8405,1526.7353,1476.9481,1200.8067,1462.4934,1461.6815,1539.5042,1293.9459,1577.5668,1764.6104,1726.8154,1326.3398,-223.971,-107.9421,301.3659,475.5891,16.5249,-260.6897,58.1271,239.6806,0.0441,0.0436,0.0082,0.0118,0.0488,0.0472,0.0069,-0.0006,42.7573,45.5027,48.8051,44.7135,45.3188,45.0995,44.228,47.3403
7,7,52.24284,20.87903,9628.8,327.0,LOT283,0,12.0,43.6322,2.4359,39.2083,49.1668,76.7092,1.5107,0.0,1.0532,0.0466,-0.0142,0.0666,0.4189,0.5566,0.4484,0.3977,-42.5197,-47.0287,-46.7894,-5.2589,0.3555,1.4534,222.6317,-0.1838,2091.0197,675.3624,512.0646,107.7058,-673.3375,1048.833,-271.2151,1323.7635,20050534.3173,23509553.6157,21299353.4491,21412227.5424,20589867.4288,20244156.2308,22108279.654,22188568.953,-179478.5271,309557.4317,1623803.0163,-876964.8583,264210.6076,-715892.8548,-903934.5637,1030747.6943,931.0376,594.1406,742.3622,941.9318,843.5424,735.7348,768.7773,667.5834,834.2837,672.0451,775.195,1200.3976,870.668,735.3971,801.1401,708.997,1514.5618,1211.2795,1654.046,1457.8424,1520.4397,1553.712,1835.7443,1383.2642,1658.6724,1364.1968,1377.1043,1336.8584,1429.7286,1299.6499,1356.735,1388.4054,-194.6469,-49.4515,208.792,-112.2862,88.3636,147.2442,-2.1218,37.4147,-0.0499,0.052,-0.0214,-0.0879,-0.0655,0.0421,0.0557,-0.0406,45.9171,48.3039,43.9032,44.8681,41.6074,42.7378,44.1856,44.5326
8,8,52.25396,20.86646,9643.5,327.0,LOT283,0,12.0,47.2834,2.3941,42.9623,52.0581,45.1828,1.6704,0.0,0.9937,0.0516,0.0004,0.0568,0.4192,0.5581,0.3862,0.4339,-45.5608,-43.8953,-47.8097,4.1596,0.304,2.9292,220.7678,-0.295,-925.5313,-1136.4893,335.2203,-2434.9026,386.4363,1158.1424,-1063.1859,-1042.0518,22054780.4614,24065248.39,21494904.9625,20785170.1286,22587328.0618,21483309.4031,19248142.067,19963403.0453,841675.6987,42813.1687,-192933.7639,-1810454.245,-1508220.4478,35851.0851,-1365228.8843,1594012.3759,824.2926,811.9741,710.2855,928.3009,822.4299,897.2316,645.4172,804.7771,817.8633,969.8701,831.9697,686.1424,714.8858,668.9941,910.9625,897.4299,1717.7541,1550.322,1742.2365,1658.248,1395.9352,1566.4915,1645.3075,1480.7125,1568.4737,1475.2469,1476.3252,1423.7755,1320.3998,1191.6851,1382.9806,1625.0171,245.4293,115.2121,-191.5473,187.6648,42.9239,-71.085,27.919,-189.9731,0.0069,0.0265,-0.042,0.0472,0.0032,-0.0506,-0.0235,-0.094,44.5554,47.4752,42.8317,47.0208,46.0545,46.2771,44.9593,47.6677
9,9,52.26509,20.85389,9656.7,327.0,LOT283,0,11.0,47.3294,1.9055,43.3063,52.1684,95.5465,1.6271,0.0,1.0309,0.0485,-0.0066,0.1152,0.5104,0.5296,0.4424,0.3802,-45.8935,-44.1888,-47.8413,-0.1516,0.063,0.0219,214.2488,0.0239,435.2675,-2241.2019,-1824.6664,626.8871,-722.5789,-1355.6268,-1871.6398,-1151.8281,21348801.3463,22182606.7479,22202738.8948,22683044.6295,23557866.1783,26229184.4496,24776859.6444,24120892.6333,-183891.0032,-335857.2163,-445806.6962,704039.4169,803793.5962,-772341.5418,-543158.0176,-183881.4967,774.7637,691.0435,875.5037,775.3003,885.9697,820.9204,889.8183,859.1598,723.6578,694.0363,776.6498,1014.8396,836.514,900.4132,686.3588,867.0319,1584.7576,1453.9294,1523.3526,1188.3327,1247.0698,1603.9194,1679.5862,1224.9981,1187.0703,1232.0047,1729.9702,1870.8176,1409.5287,1491.0249,1225.2177,1570.3737,-248.1647,-225.8115,-29.5605,-97.1769,295.4198,-62.3335,175.8518,121.2892,-0.0546,-0.0292,0.0659,0.0618,-0.0268,0.036,-0.0456,0.0639,44.2241,44.3684,45.9894,43.1991,46.1458,44.1062,47.1731,43.0014
