tick,icao24,callsign,origin_country,lat,lon,alt,velocity,true_track,vertical_rate,on_ground,is_anomaly,anomaly_kind,f_lat,f_lon,f_alt,f_velocity,f_true_track,f_vertical_rate,f_lat_delta,f_lon_delta,f_speed_delta,f_heading_delta,f_nic,f_nac_v,f_nac_p,f_trajectory_smoothness,f_altitude_jitter,f_callsign_country_match,traj_0_0,traj_0_1,traj_0_2,traj_0_3,traj_0_4,traj_1_0,traj_1_1,traj_1_2,traj_1_3,traj_1_4,traj_2_0,traj_2_1,traj_2_2,traj_2_3,traj_2_4,traj_3_0,traj_3_1,traj_3_2,traj_3_3,traj_3_4,traj_4_0,traj_4_1,traj_4_2,traj_4_3,traj_4_4,traj_5_0,traj_5_1,traj_5_2,traj_5_3,traj_5_4,traj_6_0,traj_6_1,traj_6_2,traj_6_3,traj_6_4,traj_7_0,traj_7_1,traj_7_2,traj_7_3,traj_7_4,traj_8_0,traj_8_1,traj_8_2,traj_8_3,traj_8_4,traj_9_0,traj_9_1,traj_9_2,traj_9_3,traj_9_4,traj_10_0,traj_10_1,traj_10_2,traj_10_3,traj_10_4,traj_11_0,traj_11_1,traj_11_2,traj_11_3,traj_11_4,traj_12_0,traj_12_1,traj_12_2,traj_12_3,traj_12_4,traj_13_0,traj_13_1,traj_13_2,traj_13_3,traj_13_4,traj_14_0,traj_14_1,traj_14_2,traj_14_3,traj_14_4,traj_15_0,traj_15_1,traj_15_2,traj_15_3,traj_15_4
0,4ca87b,RYR2KE,Ireland,54.4,18.50533,10998.1,230,90,0.0,0,0,,54.4,18.5053,10998.1108,230.0,90.0,-0.6623,-0.0379,-0.0025,-0.2134,0.1272,8.0,9.0,9.0,0.9147,0.232,1.0,54.4,18.5053,10998.1108,230.0,90.0,54.4,18.5053,10998.1108,230.0,90.0,54.4,18.5053,10998.1108,230.0,90.0,54.4,18.5053,10998.1108,230.0,90.0,54.4,18.5053,10998.1108,230.0,90.0,54.4,18.5053,10998.1108,230.0,90.0,54.4,18.5053,10998.1108,230.0,90.0,54.4,18.5053,10998.1108,230.0,90.0,54.4,18.5053,10998.1108,230.0,90.0,54.4,18.5053,10998.1108,230.0,90.0,54.4,18.5053,10998.1108,230.0,90.0,54.4,18.5053,10998.1108,230.0,90.0,54.4,18.5053,10998.1108,230.0,90.0,54.4,18.5053,10998.1108,230.0,90.0,54.4,18.5053,10998.1108,230.0,90.0,54.4,18.5053,10998.1108,230.0,90.0
0,471f8b,LOT283,Poland,52.50227,20.89687,9500.4,220,320,0.0,0,0,,52.5023,20.8969,9500.4483,220.0,320.0,-0.45,0.051,-0.2411,0.1463,-0.0916,8.0,9.0,9.0,0.9286,0.4222,1.0,52.5023,20.8969,9500.4483,220.0,320.0,52.5023,20.8969,9500.4483,220.0,320.0,52.5023,20.8969,9500.4483,220.0,320.0,52.5023,20.8969,9500.4483,220.0,320.0,52.5023,20.8969,9500.4483,220.0,320.0,52.5023,20.8969,9500.4483,220.0,320.0,52.5023,20.8969,9500.4483,220.0,320.0,52.5023,20.8969,9500.4483,220.0,320.0,52.5023,20.8969,9500.4483,220.0,320.0,52.5023,20.8969,9500.4483,220.0,320.0,52.5023,20.8969,9500.4483,220.0,320.0,52.5023,20.8969,9500.4483,220.0,320.0,52.5023,20.8969,9500.4483,220.0,320.0,52.5023,20.8969,9500.4483,220.0,320.0,52.5023,20.8969,9500.4483,220.0,320.0,52.5023,20.8969,9500.4483,220.0,320.0
0,3c6589,DLH4ZW,Germany,53.50056,14.50536,11504.4,240,80,0.0,0,0,,53.5006,14.5054,11504.3943,240.0,80.0,-0.0654,0.0505,0.1444,0.1515,0.1275,8.0,9.0,9.0,0.9199,0.2923,1.0,53.5006,14.5054,11504.3943,240.0,80.0,53.5006,14.5054,11504.3943,240.0,80.0,53.5006,14.5054,11504.3943,240.0,80.0,53.5006,14.5054,11504.3943,240.0,80.0,53.5006,14.5054,11504.3943,240.0,80.0,53.5006,14.5054,11504.3943,240.0,80.0,53.5006,14.5054,11504.3943,240.0,80.0,53.5006,14.5054,11504.3943,240.0,80.0,53.5006,14.5054,11504.3943,240.0,80.0,53.5006,14.5054,11504.3943,240.0,80.0,53.5006,14.5054,11504.3943,240.0,80.0,53.5006,14.5054,11504.3943,240.0,80.0,53.5006,14.5054,11504.3943,240.0,80.0,53.5006,14.5054,11504.3943,240.0,80.0,53.5006,14.5054,11504.3943,240.0,80.0,53.5006,14.5054,11504.3943,240.0,80.0
0,4b1805,SWR12X,Switzerland,52.79702,17.99821,10802.8,235,200,0.0,0,0,,52.797,17.9982,10802.8027,235.0,200.0,-0.9174,0.1952,0.2047,-0.0768,-0.1533,8.0,9.0,9.0,0.9286,0.3691,1.0,52.797,17.9982,10802.8027,235.0,200.0,52.797,17.9982,10802.8027,235.0,200.0,52.797,17.9982,10802.8027,235.0,200.0,52.797,17.9982,10802.8027,235.0,200.0,52.797,17.9982,10802.8027,235.0,200.0,52.797,17.9982,10802.8027,235.0,200.0,52.797,17.9982,10802.8027,235.0,200.0,52.797,17.9982,10802.8027,235.0,200.0,52.797,17.9982,10802.8027,235.0,200.0,52.797,17.9982,10802.8027,235.0,200.0,52.797,17.9982,10802.8027,235.0,200.0,52.797,17.9982,10802.8027,235.0,200.0,52.797,17.9982,10802.8027,235.0,200.0,52.797,17.9982,10802.8027,235.0,200.0,52.797,17.9982,10802.8027,235.0,200.0,52.797,17.9982,10802.8027,235.0,200.0
0,440048,BAW893,United Kingdom,53.00169,16.00485,11999.3,250,60,0.0,0,0,,53.0017,16.0049,11999.2583,250.0,60.0,-0.5506,-0.0995,-0.0352,0.1017,-0.0134,8.0,9.0,9.0,0.9371,0.1859,1.0,53.0017,16.0049,11999.2583,250.0,60.0,53.0017,16.0049,11999.2583,250.0,60.0,53.0017,16.0049,11999.2583,250.0,60.0,53.0017,16.0049,11999.2583,250.0,60.0,53.0017,16.0049,11999.2583,250.0,60.0,53.0017,16.0049,11999.2583,250.0,60.0,53.0017,16.0049,11999.2583,250.0,60.0,53.0017,16.0049,11999.2583,250.0,60.0,53.0017,16.0049,11999.2583,250.0,60.0,53.0017,16.0049,11999.2583,250.0,60.0,53.0017,16.0049,11999.2583,250.0,60.0,53.0017,16.0049,11999.2583,250.0,60.0,53.0017,16.0049,11999.2583,250.0,60.0,53.0017,16.0049,11999.2583,250.0,60.0,53.0017,16.0049,11999.2583,250.0,60.0,53.0017,16.0049,11999.2583,250.0,60.0
0,4ac9b0,SAS2HK,Sweden,55.49852,17.00454,10502.1,220,120,0.0,0,0,,55.4985,17.0045,10502.0686,220.0,120.0,1.2054,0.0077,0.0943,0.1245,0.2675,8.0,9.0,9.0,0.9355,0.4908,1.0,55.4985,17.0045,10502.0686,220.0,120.0,55.4985,17.0045,10502.0686,220.0,120.0,55.4985,17.0045,10502.0686,220.0,120.0,55.4985,17.0045,10502.0686,220.0,120.0,55.4985,17.0045,10502.0686,220.0,120.0,55.4985,17.0045,10502.0686,220.0,120.0,55.4985,17.0045,10502.0686,220.0,120.0,55.4985,17.0045,10502.0686,220.0,120.0,55.4985,17.0045,10502.0686,220.0,120.0,55.4985,17.0045,10502.0686,220.0,120.0,55.4985,17.0045,10502.0686,220.0,120.0,55.4985,17.0045,10502.0686,220.0,120.0,55.4985,17.0045,10502.0686,220.0,120.0,55.4985,17.0045,10502.0686,220.0,120.0,55.4985,17.0045,10502.0686,220.0,120.0,55.4985,17.0045,10502.0686,220.0,120.0
0,3917a3,AFR1219,France,50.99737,14.50241,11001.3,225,150,0.0,0,0,,50.9974,14.5024,11001.2851,225.0,150.0,-0.3096,-0.0298,-0.2918,-0.4236,0.0103,8.0,9.0,9.0,0.9339,0.3659,1.0,50.9974,14.5024,11001.2851,225.0,150.0,50.9974,14.5024,11001.2851,225.0,150.0,50.9974,14.5024,11001.2851,225.0,150.0,50.9974,14.5024,11001.2851,225.0,150.0,50.9974,14.5024,11001.2851,225.0,150.0,50.9974,14.5024,11001.2851,225.0,150.0,50.9974,14.5024,11001.2851,225.0,150.0,50.9974,14.5024,11001.2851,225.0,150.0,50.9974,14.5024,11001.2851,225.0,150.0,50.9974,14.5024,11001.2851,225.0,150.0,50.9974,14.5024,11001.2851,225.0,150.0,50.9974,14.5024,11001.2851,225.0,150.0,50.9974,14.5024,11001.2851,225.0,150.0,50.9974,14.5024,11001.2851,225.0,150.0,50.9974,14.5024,11001.2851,225.0,150.0,50.9974,14.5024,11001.2851,225.0,150.0
0,46b8c1,FIN6KP,Finland,55.99727,20.99823,9997.1,215,200,0.0,0,0,,55.9973,20.9982,9997.0568,215.0,200.0,0.9718,0.0508,-0.137,-0.2276,0.4385,8.0,9.0,9.0,0.9033,0.3075,1.0,55.9973,20.9982,9997.0568,215.0,200.0,55.9973,20.9982,9997.0568,215.0,200.0,55.9973,20.9982,9997.0568,215.0,200.0,55.9973,20.9982,9997.0568,215.0,200.0,55.9973,20.9982,9997.0568,215.0,200.0,55.9973,20.9982,9997.0568,215.0,200.0,55.9973,20.9982,9997.0568,215.0,200.0,55.9973,20.9982,9997.0568,215.0,200.0,55.9973,20.9982,9997.0568,215.0,200.0,55.9973,20.9982,9997.0568,215.0,200.0,55.9973,20.9982,9997.0568,215.0,200.0,55.9973,20.9982,9997.0568,215.0,200.0,55.9973,20.9982,9997.0568,215.0,200.0,55.9973,20.9982,9997.0568,215.0,200.0,55.9973,20.9982,9997.0568,215.0,200.0,55.9973,20.9982,9997.0568,215.0,200.0
0,4ca8e0,RYR3LM,Ireland,53.69844,19.79542,11195.4,232,240,0.0,0,0,,53.6984,19.7954,11195.4275,232.0,240.0,0.8863,0.1666,0.018,0.3227,-0.1937,8.0,9.0,9.0,0.9249,0.4273,1.0,53.6984,19.7954,11195.4275,232.0,240.0,53.6984,19.7954,11195.4275,232.0,240.0,53.6984,19.7954,11195.4275,232.0,240.0,53.6984,19.7954,11195.4275,232.0,240.0,53.6984,19.7954,11195.4275,232.0,240.0,53.6984,19.7954,11195.4275,232.0,240.0,53.6984,19.7954,11195.4275,232.0,240.0,53.6984,19.7954,11195.4275,232.0,240.0,53.6984,19.7954,11195.4275,232.0,240.0,53.6984,19.7954,11195.4275,232.0,240.0,53.6984,19.7954,11195.4275,232.0,240.0,53.6984,19.7954,11195.4275,232.0,240.0,53.6984,19.7954,11195.4275,232.0,240.0,53.6984,19.7954,11195.4275,232.0,240.0,53.6984,19.7954,11195.4275,232.0,240.0,53.6984,19.7954,11195.4275,232.0,240.0
0,478129,WZZ2BV,Hungary,51.70052,22.49528,10800.8,220,280,0.0,0,0,,51.7005,22.4953,10800.7697,220.0,280.0,0.7959,-0.1643,0.2897,-0.3897,0.0538,8.0,9.0,9.0,0.9377,0.2315,1.0,51.7005,22.4953,10800.7697,220.0,280.0,51.7005,22.4953,10800.7697,220.0,280.0,51.7005,22.4953,10800.7697,220.0,280.0,51.7005,22.4953,10800.7697,220.0,280.0,51.7005,22.4953,10800.7697,220.0,280.0,51.7005,22.4953,10800.7697,220.0,280.0,51.7005,22.4953,10800.7697,220.0,280.0,51.7005,22.4953,10800.7697,220.0,280.0,51.7005,22.4953,10800.7697,220.0,280.0,51.7005,22.4953,10800.7697,220.0,280.0,51.7005,22.4953,10800.7697,220.0,280.0,51.7005,22.4953,10800.7697,220.0,280.0,51.7005,22.4953,10800.7697,220.0,280.0,51.7005,22.4953,10800.7697,220.0,280.0,51.7005,22.4953,10800.7697,220.0,280.0,51.7005,22.4953,10800.7697,220.0,280.0
