tick,t_int,lat,lon,alt,heading,callsign,is_attack,n_sv,cn0_mean,cn0_std,cn0_min,cn0_max,doppler_std,pseudorange_std,error_flag_any,sqm_peak_mean,sqm_peak_std,sqm_asym_mean,sqm_asym_max,sqm_sec_peak_mean,sqm_sec_peak_max,sqm_left_5_mean,sqm_right_5_mean,power_2MHz,power_4MHz,power_8MHz,clock_error_m,clock_drift_mps,position_drift_m,speed_ecef,clock_error_d_dt,Carrier_Doppler_hz_ch0,Carrier_Doppler_hz_ch1,Carrier_Doppler_hz_ch2,Carrier_Doppler_hz_ch3,Carrier_Doppler_hz_ch4,Carrier_Doppler_hz_ch5,Carrier_Doppler_hz_ch6,Carrier_Doppler_hz_ch7,Pseudorange_m_ch0,Pseudorange_m_ch1,Pseudorange_m_ch2,Pseudorange_m_ch3,Pseudorange_m_ch4,Pseudorange_m_ch5,Pseudorange_m_ch6,Pseudorange_m_ch7,Carrier_phase_cycles_ch0,Carrier_phase_cycles_ch1,Carrier_phase_cycles_ch2,Carrier_phase_cycles_ch3,Carrier_phase_cycles_ch4,Carrier_phase_cycles_ch5,Carrier_phase_cycles_ch6,Carrier_phase_cycles_ch7,EC_ch0,EC_ch1,EC_ch2,EC_ch3,EC_ch4,EC_ch5,EC_ch6,EC_ch7,LC_ch0,LC_ch1,LC_ch2,LC_ch3,LC_ch4,LC_ch5,LC_ch6,LC_ch7,PC_ch0,PC_ch1,PC_ch2,PC_ch3,PC_ch4,PC_ch5,PC_ch6,PC_ch7,PIP_ch0,PIP_ch1,PIP_ch2,PIP_ch3,PIP_ch4,PIP_ch5,PIP_ch6,PIP_ch7,PQP_ch0,PQP_ch1,PQP_ch2,PQP_ch3,PQP_ch4,PQP_ch5,PQP_ch6,PQP_ch7,TCD_ch0,TCD_ch1,TCD_ch2,TCD_ch3,TCD_ch4,TCD_ch5,TCD_ch6,TCD_ch7,CN0_ch0,CN0_ch1,CN0_ch2,CN0_ch3,CN0_ch4,CN0_ch5,CN0_ch6,CN0_ch7
0,0,52.165,20.967,9500.0,327.0,LOT283,0,9.0,44.2306,3.0948,39.0119,48.2368,93.3945,1.834,0.0,0.9868,0.0532,0.0201,0.0983,0.4666,0.5216,0.3645,0.3157,-44.8697,-44.3091,-46.6705,3.651,-0.2863,1.5022,223.639,-0.0637,-1613.3517,1365.8894,-1635.3846,2914.7338,1267.5911,1968.3608,-1068.7546,-987.9243,20057473.1898,21417193.6582,21236183.9343,21022110.4422,22786496.5215,20510676.9753,22314318.9742,22010404.2501,741216.685,-1739558.1117,-91701.5274,-499972.269,-505220.3879,-453589.0811,1502596.8976,1558748.0177,999.9259,947.7901,902.0644,916.6095,838.169,727.1441,852.5371,688.8683,771.0412,868.2037,813.0553,867.4909,682.5229,818.5952,765.0774,656.3452,1443.9303,1713.9005,1850.9334,1770.9897,1303.1216,1427.3662,1276.9328,1479.1108,1462.0497,1510.6666,1629.4427,1537.4682,1504.3594,1634.9059,1431.3844,1543.6012,-330.7099,120.1317,-98.2276,347.3031,172.9456,-458.0825,-60.0954,83.1922,0.026,0.0548,0.0088,0.1248,-0.0779,-0.0285,-0.0707,-0.063,44.0964,43.4034,43.2563,44.9943,45.0677,43.3147,43.848,46.7574
1,1,52.17612,20.95443,9520.0,327.0,LOT283,0,11.0,46.3877,2.6683,41.4391,51.7067,90.2019,2.4068,0.0,0.9777,0.0475,0.0054,0.1447,0.5264,0.4819,0.3865,0.4183,-47.274,-43.8184,-45.5594,-2.1581,-0.4048,4.5974,221.0967,0.5675,-1140.6022,817.039,-776.2938,-1801.5436,903.6881,2172.4565,-1456.0771,-1138.7544,23295458.2169,23900613.9979,21020333.9711,22170697.0455,24282338.5397,20600737.7566,17575076.2389,21073501.4429,-460529.3332,-608386.3743,-1859304.2112,-1736072.3098,1368442.5927,-2135421.6669,884299.5938,10982.0454,837.2535,686.7502,825.5766,558.8157,885.4447,825.8137,811.8304,833.682,881.7591,895.0316,859.1906,757.4411,817.0642,848.8286,964.5209,708.1868,1428.5741,1501.1034,1556.4162,1744.423,1530.5466,1425.8968,1184.6335,1372.6229,1654.6376,1604.6301,1457.5896,1693.0017,1375.8197,1754.0534,1753.1538,1147.7073,135.9387,-169.6742,35.5269,111.3387,6.1769,-8.8561,206.4071,3.8638,0.0203,-0.0092,0.046,0.0133,0.0069,0.0064,0.0131,0.0279,45.5933,45.731,47.5288,45.2862,42.8026,42.8553,45.0464,42.3992
2,2,52.18724,20.94186,9539.7,327.0,LOT283,0,9.0,46.2616,2.4532,41.9617,51.6517,81.6649,1.2237,0.0,1.0093,0.0524,-0.0049,0.0699,0.4171,0.5177,0.3606,0.4278,-46.2291,-48.1082,-48.6905,-2.8081,0.2101,0.4868,213.9421,-0.4021,-1138.0697,608.5538,-1813.6394,3299.8144,-508.4077,311.0765,1015.7862,642.5885,22706139.7705,23200950.5195,22351354.3426,22446587.3377,22967458.4984,22015368.4309,23925473.9752,21195875.947,108384.5229,64561.1496,-486655.3457,1689358.7281,332400.6697,-870209.4793,-2200848.4929,1830500.1719,645.9343,689.8587,883.5802,717.2536,678.5723,885.7973,900.1144,759.7446,685.07,670.187,777.1795,836.8931,729.1057,703.888,789.3102,758.2675,1415.1938,1566.2678,1497.1316,1060.3348,1634.0288,1569.7744,1353.7677,1410.735,1348.4334,1845.9233,1499.4712,1622.074,1651.2922,1552.9537,1444.2218,1604.6973,-282.8358,66.3496,-51.8415,205.5859,-95.6003,157.6786,-211.0951,-225.2624,0.0347,0.0354,-0.0357,0.1369,-0.0386,0.0287,-0.0527,0.0265,44.0427,42.9305,45.0069,45.3441,41.5224,46.5362,41.9389,44.4109
3,3,52.19836,20.9293,9559.1,327.0,LOT283,0,10.0,43.7142,2.2951,39.657,49.5251,76.8829,2.1732,0.0,0.9624,0.0558,-0.0147,0.1309,0.4504,0.5367,0.4088,0.3583,-44.8947,-45.114,-47.9879,0.5955,0.271,1.4476,217.9099,0.2265,391.6994,1187.6931,-921.377,355.8124,406.9409,353.3778,2933.1128,-1991.8094,20683713.2028,19975185.0859,21443781.6932,21842042.0196,22777087.6832,22416309.0713,19546861.261,22165862.1092,978857.9161,-201861.3346,-858111.7358,-447465.4364,1793726.2844,477282.4413,927040.4976,28840.2909,634.4861,581.0679,676.7074,645.3502,824.6396,789.9997,869.3006,847.0144,974.8435,862.0039,969.6545,946.9943,740.6067,984.0786,836.6155,816.9076,1426.0686,1322.4516,1462.3316,1444.9366,1549.0462,1475.6063,1732.9275,1271.4752,1761.0003,1604.7935,1597.9087,1322.6308,1268.6551,1538.7801,1374.0866,1636.706,65.5803,-206.1238,-204.1781,273.7657,-152.4206,-40.4148,260.8953,8.2196,-0.0534,0.0002,-0.0512,-0.0185,-0.0103,0.0111,-0.035,-0.0422,42.7691,43.8609,45.7686,44.2091,43.9425,41.516,48.366,46.4275
4,4,52.20948,20.91673,9577.9,327.0,LOT283,0,11.0,44.4638,2.2887,39.7895,49.7394,70.6267,1.587,0.0,1.0055,0.0535,-0.0284,0.0642,0.5353,0.4741,0.3821,0.4037,-48.8399,-46.3503,-47.799,-0.0423,0.2331,1.7853,216.3723,0.2377,1809.9769,399.837,2136.8028,-883.4087,2020.1464,707.3759,650.7011,-610.5642,19632018.4521,21363395.4931,20475010.8474,22667415.5941,21111394.8127,24744881.3411,23720122.67,20486670.1671,1211826.32,1638972.5015,935843.3612,1734495.1749,359089.8499,-1563687.6279,-127613.0425,-328915.9701,682.7691,702.6911,829.1355,854.8425,611.3743,790.4479,711.7071,713.6613,870.5273,691.0297,664.6648,642.7381,800.4306,809.3249,876.7108,693.4846,1360.1066,1350.4858,1445.1084,1583.9519,1417.538,1347.117,1668.3751,1442.9081,1564.1348,1319.5017,1549.9355,1689.2968,1661.0034,1210.4207,1675.3664,1118.9702,-261.5508,-83.8259,3.5953,-243.5009,-172.7935,49.9644,-91.7111,-155.993,-0.041,-0.0692,0.0295,0.0561,0.051,-0.0061,0.0469,-0.0654,42.6758,47.0281,44.2694,50.0135,43.611,46.9824,45.1438,43.7638
5,5,52.2206,20.90416,9595.9,327.0,LOT283,0,12.0,46.8589,2.4973,42.3866,51.5279,108.2204,2.3242,0.0,0.9934,0.074,-0.0269,0.1153,0.3956,0.6123,0.4088,0.4072,-43.6532,-46.7489,-45.5507,0.7061,-0.2948,1.894,229.3845,0.3631,-1336.1404,2285.3318,-2597.8525,1326.1925,2304.4318,-246.5177,-1077.9942,704.4567,22238541.1014,21947635.3547,23174929.9499,21446783.4709,21198066.5968,19704127.2732,20862957.5937,21488689.2843,-782486.3434,54981.2857,392016.7718,419212.9345,-216060.0615,-735193.7343,-340221.7087,-138508.4307,713.0825,708.3084,657.8601,800.5883,628.9223,777.0931,669.6295,692.4511,789.5589,796.752,817.2267,827.4338,694.2547,796.8031,745.4495,859.41,1464.9033,1748.4807,1688.5057,1364.367,1626.0718,1519.8263,1641.3512,1371.3122,1481.4403,1552.1595,1759.8223,1145.3114,1402.5659,1843.5964,1830.0925,1762.0307,-6.8295,85.0516,-285.018,-3.7318,166.5409,-255.8112,442.6115,8.6827,0.0094,0.0036,-0.0122,0.0451,0.0326,-0.0291,0.065,0.0738,44.7108,44.5032,39.1748,42.1165,46.9082,46.9287,44.0394,46.6712
6,6,52.23172,20.89159,9612.9,327.0,LOT283,0,11.0,41.1289,2.9648,35.5138,45.8598,63.4825,1.7045,0.0,0.9826,0.037,0.0029,0.0996,0.37,0.5379,0.4318,0.4198,-43.6878,-48.5573,-45.388,-4.1095,-0.2698,1.7303,217.8734,-0.1528,167.7458,-1486.3378,223.7571,-952.12,1335.5532,-84.5184,586.6919,-8.7877,21629737.3282,22235761.8344,22190255.3224,22192961.8588,20436048.0779,21672365.1354,24723015.2302,20106978.831,-364010.9643,-374463.8318,-376078.5696,585208.8877,1102555.1013,1515936.406,-1062502.275,-1458538.8118,680.1172,808.7762,926.1302,857.7848,698.1095,825.6358,980.7038,761.2279,602.5945,815.0522,766.0835,902.634,827.7045,839.7331,819.6068,828.5144,1414.2322,1479.9813,1657.2112,1570.8105,1328.0777,1437.5946,1319.8459,1487.1344,1459.8287,1182.7927,1607.9834,1243.3597,1005.2831,1303.2105,1473.0043,1484.1515,-6.3031,60.5721,221.015,-117.7754,2.447,-238.0218,133.8067,-111.022,0.0039,-0.0611,-0.0946,0.0334,-0.0695,-0.0317,0.0104,0.1002,47.1611,44.4964,44.224,47.3429,42.4455,45.7978,47.0793,46.9005
7,7,52.24284,20.87903,9628.8,327.0,LOT283,0,10.0,43.945,2.2461,38.1909,49.944,77.7476,1.5953,0.0,0.9738,0.0385,-0.0292,0.0905,0.4155,0.4826,0.405,0.3763,-45.179,-45.7764,-47.9188,4.204,-0.0042,3.7144,219.0562,-0.2761,-726.4395,3073.9417,648.1645,-257.5302,556.8074,-1115.7538,-1020.3081,-627.5817,22147420.5838,20817322.0013,21670229.9251,21083882.2066,22559431.9897,20795937.378,23285267.8792,23095643.7459,-1051014.3711,-696736.4375,56354.2368,667095.5275,430016.2729,477021.7494,1361188.898,1064645.9613,819.6442,807.896,701.718,735.7233,851.0362,637.1673,730.0537,738.2101,795.2108,854.0609,721.3881,944.8926,810.572,883.4182,772.3742,833.5863,1222.8733,1318.7191,1427.0744,1618.9519,1385.521,1776.3705,1506.2886,1660.7217,1310.949,1379.1065,1103.6604,1623.66,1493.4226,1831.6557,1340.5261,1499.2029,-317.8007,-166.6789,-182.6968,97.3914,-42.6218,58.5506,86.8822,-57.4088,-0.026,0.0507,0.0328,0.0787,0.0329,-0.0118,-0.0566,-0.0465,42.3834,42.8432,45.4563,44.605,44.7019,45.5496,43.1807,44.3687
8,8,52.25396,20.86646,9643.5,327.0,LOT283,0,10.0,46.2134,2.462,41.0696,51.4368,73.9594,2.5342,0.0,1.0294,0.051,-0.0145,0.0346,0.4591,0.5402,0.4564,0.4703,-44.8504,-47.1847,-49.5688,7.1494,-0.2908,1.6594,221.5987,0.4465,893.4929,815.4146,1182.8981,-1848.0977,-973.923,-1088.2809,3419.1212,-2538.4263,20486995.4332,21520471.7082,22022053.7692,21843399.7191,21987341.8372,23731744.7929,20685795.5146,24195382.1345,-327259.0396,476421.0529,439647.2269,-73120.0984,1722171.4471,74679.6586,-603414.5209,576931.1955,992.9845,713.0184,891.1905,759.0443,779.6923,769.6618,686.6269,863.5302,785.3435,831.4444,688.0809,638.6632,719.6296,738.3729,753.5709,971.9025,1594.5018,1478.9966,1594.1149,1565.2946,1591.8116,1677.7566,1463.831,1511.1927,1809.4975,1682.2752,1570.3799,1887.7732,1523.111,1431.592,1320.6533,1625.7241,-338.9789,163.3331,-385.6614,221.9634,170.6365,114.9321,347.1203,339.0827,-0.0443,-0.0234,0.0149,-0.0147,-0.0172,-0.0515,0.0224,0.0173,46.2285,45.5833,46.8047,42.1097,45.8547,45.0003,47.1709,43.7417
9,9,52.26509,20.85389,9656.7,327.0,LOT283,0,12.0,48.3658,2.2865,43.4242,52.677,70.5157,1.9206,0.0,0.99,0.0422,0.0309,0.0977,0.4071,0.5543,0.3753,0.3968,-43.4839,-47.3975,-48.5065,-1.3153,-0.3949,2.9175,216.1766,-0.2168,725.9002,-41.8708,1502.8007,-2218.7129,1553.6426,-1648.983,-261.0506,-641.3917,24000863.3439,21279752.0324,24214108.0552,22590899.935,23939921.4851,20803197.9801,21861007.4742,21743720.4428,-278124.3408,-827236.8553,278623.2459,-2427242.5941,707873.3163,1548965.4778,-1486920.2566,-725499.5563,809.4515,799.9477,905.0864,726.5874,805.4076,809.7579,766.671,910.4946,615.1751,859.0475,739.9543,758.6668,883.7728,663.8407,740.2592,804.9295,1261.8911,1749.4943,1537.8458,1517.2346,1634.3714,1705.5647,1671.7448,1610.558,1639.1501,1440.6773,1453.497,1482.5138,1575.4795,1493.9622,1654.7839,1438.2929,-251.6291,-65.3467,177.9818,58.8004,216.6036,-346.5131,-103.6837,-116.063,0.0374,0.0001,-0.0197,0.0534,-0.0064,-0.016,-0.0401,0.0364,49.8997,45.0696,44.0271,51.4365,46.2838,43.7947,42.5204,46.9541
