tick,snapshot_idx,snapshot_time,icao24,callsign,origin_country,latitude,longitude,baro_altitude,geo_altitude,velocity,true_track,vertical_rate,on_ground,time_position,last_contact,position_source,is_anomaly,anomaly_kind
0,0,1700000000.0,4ca87b,RYR2KE,Ireland,54.39999,18.5533,10999.4,11020.0,230.0,90.0,0.0,False,1700000000.0,1700000000.0,0,0,
0,0,1700000000.0,471f8b,LOT283,Poland,52.52273,20.86865,9504.4,9529.1,220.0,320.0,0.0,False,1700000000.0,1700000000.0,0,0,
0,0,1700000000.0,3c6589,DLH4ZW,Germany,53.50561,14.55361,11494.6,11508.4,240.0,80.0,0.0,False,1700000000.0,1700000000.0,0,0,
0,0,1700000000.0,4b1805,SWR12X,Switzerland,52.77021,17.98208,10803.1,10816.8,235.0,200.0,0.0,False,1700000000.0,1700000000.0,0,0,
0,0,1700000000.0,440048,BAW893,United Kingdom,53.01685,16.04855,12004.8,12024.9,250.0,60.0,0.0,False,1700000000.0,1700000000.0,0,0,
0,0,1700000000.0,4ac9b0,SAS2HK,Sweden,55.48515,17.04536,10492.4,10510.5,220.0,120.0,0.0,False,1700000000.0,1700000000.0,0,0,
0,0,1700000000.0,3917a3,AFR1219,France,50.97371,14.5241,11003.5,11025.8,225.0,150.0,0.0,False,1700000000.0,1700000000.0,0,0,
0,0,1700000000.0,46b8c1,FIN6KP,Finland,55.97274,20.98227,9995.1,10020.9,215.0,200.0,0.0,False,1700000000.0,1700000000.0,0,0,
0,0,1700000000.0,4ca8e0,RYR3LM,Ireland,53.68434,19.75424,11200.4,11218.2,232.0,240.0,0.0,False,1700000000.0,1700000000.0,0,0,
0,0,1700000000.0,478129,WZZ2BV,Hungary,51.70514,22.45284,10801.2,10823.3,220.0,280.0,0.0,False,1700000000.0,1700000000.0,0,0,
0,0,1700000000.0,4ba8c2,TAR9FX,Turkey,52.19999,23.44608,9493.7,9518.6,245.0,270.0,0.0,False,1700000000.0,1700000000.0,0,0,
0,0,1700000000.0,4cab4c,EZY42AC,United Kingdom,54.59441,17.55457,11803.3,11826.2,238.0,100.0,0.0,False,1700000000.0,1700000000.0,0,0,
1,1,1700000015.0,4ca87b,RYR2KE,Ireland,54.39998,18.6066,10998.5,11013.2,230.0,90.0,0.0,False,1700000015.0,1700000015.0,0,0,
1,1,1700000015.0,471f8b,LOT283,Poland,52.54546,20.83728,9503.1,9510.8,220.0,320.0,0.0,False,1700000015.0,1700000015.0,0,0,
1,1,1700000015.0,3c6589,DLH4ZW,Germany,53.51122,14.60723,11496.6,11516.4,240.0,80.0,0.0,False,1700000015.0,1700000015.0,0,0,
1,1,1700000015.0,4b1805,SWR12X,Switzerland,52.74042,17.96417,10792.6,10800.7,235.0,200.0,0.0,False,1700000015.0,1700000015.0,0,0,
1,1,1700000015.0,440048,BAW893,United Kingdom,53.033532432432445,16.09686155945246,11996.6,12020.3,250.0,60.0,0.0,False,1700000015.0,1700000015.0,0,0,
1,1,1700000015.0,4ac9b0,SAS2HK,Sweden,55.47031,17.0907,10485.4,10501.1,220.0,120.0,0.0,False,1700000015.0,1700000015.0,0,0,
1,1,1700000015.0,3917a3,AFR1219,France,50.9475874139738,14.547975376931364,10996.7,11018.1,225.0,150.0,0.0,False,1700000015.0,1700000015.0,0,0,
1,1,1700000015.0,46b8c1,FIN6KP,Finland,55.94549,20.96456,10006.0,10021.4,215.0,200.0,0.0,False,1700000015.0,1700000015.0,0,0,
1,1,1700000015.0,4ca8e0,RYR3LM,Ireland,53.66869,19.70849,11197.3,11223.1,232.0,240.0,0.0,False,1700000015.0,1700000015.0,0,0,
1,1,1700000015.0,478129,WZZ2BV,Hungary,51.71029,22.40567,10798.8,10815.5,220.0,280.0,0.0,False,1700000015.0,1700000015.0,0,0,
1,1,1700000015.0,4ba8c2,TAR9FX,Turkey,52.19998,23.39215,9492.0,9504.9,245.0,270.0,0.0,False,1700000015.0,1700000015.0,0,0,
1,1,1700000015.0,4cab4c,EZY42AC,United Kingdom,54.58883,17.60914,11797.7,11820.4,238.0,100.0,0.0,False,1700000015.0,1700000015.0,0,0,
