tick,t_int,lat,lon,alt,heading,callsign,is_attack,n_sv,cn0_mean,cn0_std,cn0_min,cn0_max,doppler_std,pseudorange_std,error_flag_any,sqm_peak_mean,sqm_peak_std,sqm_asym_mean,sqm_asym_max,sqm_sec_peak_mean,sqm_sec_peak_max,sqm_left_5_mean,sqm_right_5_mean,power_2MHz,power_4MHz,power_8MHz,clock_error_m,clock_drift_mps,position_drift_m,speed_ecef,clock_error_d_dt,Carrier_Doppler_hz_ch0,Carrier_Doppler_hz_ch1,Carrier_Doppler_hz_ch2,Carrier_Doppler_hz_ch3,Carrier_Doppler_hz_ch4,Carrier_Doppler_hz_ch5,Carrier_Doppler_hz_ch6,Carrier_Doppler_hz_ch7,Pseudorange_m_ch0,Pseudorange_m_ch1,Pseudorange_m_ch2,Pseudorange_m_ch3,Pseudorange_m_ch4,Pseudorange_m_ch5,Pseudorange_m_ch6,Pseudorange_m_ch7,Carrier_phase_cycles_ch0,Carrier_phase_cycles_ch1,Carrier_phase_cycles_ch2,Carrier_phase_cycles_ch3,Carrier_phase_cycles_ch4,Carrier_phase_cycles_ch5,Carrier_phase_cycles_ch6,Carrier_phase_cycles_ch7,EC_ch0,EC_ch1,EC_ch2,EC_ch3,EC_ch4,EC_ch5,EC_ch6,EC_ch7,LC_ch0,LC_ch1,LC_ch2,LC_ch3,LC_ch4,LC_ch5,LC_ch6,LC_ch7,PC_ch0,PC_ch1,PC_ch2,PC_ch3,PC_ch4,PC_ch5,PC_ch6,PC_ch7,PIP_ch0,PIP_ch1,PIP_ch2,PIP_ch3,PIP_ch4,PIP_ch5,PIP_ch6,PIP_ch7,PQP_ch0,PQP_ch1,PQP_ch2,PQP_ch3,PQP_ch4,PQP_ch5,PQP_ch6,PQP_ch7,TCD_ch0,TCD_ch1,TCD_ch2,TCD_ch3,TCD_ch4,TCD_ch5,TCD_ch6,TCD_ch7,CN0_ch0,CN0_ch1,CN0_ch2,CN0_ch3,CN0_ch4,CN0_ch5,CN0_ch6,CN0_ch7
0,0,52.165,20.967,9500.0,327.0,LOT283,0,9.0,48.6964,2.487,43.1701,52.9414,57.4294,2.5808,0.0,0.9878,0.037,0.034,0.1413,0.5435,0.5454,0.3558,0.4074,-42.9993,-46.9437,-47.1375,5.2441,-0.2469,1.5219,223.5684,0.2448,-1345.2219,401.4818,-158.5054,-756.4686,784.2206,1611.1579,-2682.4655,1699.565,23851524.2433,23180415.5468,23380346.7146,25214693.0087,20068539.8727,22095151.1587,22682154.7925,22552764.6996,-336931.3942,-288172.3662,-185113.6226,-1088203.1947,387470.4884,-400888.2452,-421483.2981,2203905.008,649.3996,551.5794,1040.4198,830.7081,1004.1034,971.5426,718.3091,773.4468,765.3415,708.861,698.0932,820.6002,777.6902,848.3652,523.9327,810.6923,1370.563,1746.7871,1591.0083,1711.1411,1437.6882,1356.0042,1472.7924,1461.4174,1376.9054,1419.8374,1345.4946,1446.0451,1320.9155,1918.1366,1624.6267,1667.5089,-9.7609,39.2033,-283.1968,3.8007,-30.1059,503.3382,-172.1164,-273.0871,0.0743,-0.0294,-0.0528,-0.0303,0.0323,0.0483,0.056,-0.042,45.7495,41.4243,42.3052,43.9225,43.5873,46.4246,43.2894,46.5116
1,1,52.17612,20.95443,9520.0,327.0,LOT283,0,12.0,43.1112,2.2582,38.9724,47.2614,75.3992,1.8789,0.0,1.0011,0.0399,-0.0323,0.0812,0.4463,0.5958,0.4536,0.3901,-43.1651,-46.0089,-48.2178,-0.0567,-0.2543,2.4049,216.8163,-0.2939,-298.6931,-639.9614,-1078.5212,26.7678,-3001.9831,464.3948,-436.3695,-619.8028,21552865.5906,21524322.0485,23228415.6421,22946834.8997,22816642.5344,21342460.0293,21942884.1151,22224513.7355,-263400.5256,-1221859.1999,856964.1815,-54833.4359,-297832.4109,42141.5901,479817.179,-2001416.126,721.7682,941.5468,759.8322,817.9142,898.3304,944.1436,729.3396,688.4355,775.6468,788.9522,681.8195,901.069,890.8034,888.464,1059.2643,870.0343,1367.1903,1614.6275,1624.8399,1511.1196,1447.4667,1680.812,1555.5328,1598.5213,1824.772,1583.7005,1340.1568,1355.3434,1591.7626,1532.5425,1784.3242,1638.7378,-229.6367,154.0997,-368.5761,-150.6709,-10.7368,195.6484,-32.0323,137.3279,-0.0876,-0.1179,-0.0527,-0.0479,-0.0148,-0.021,-0.0527,0.106,48.6672,44.5368,44.3684,43.4992,42.1032,47.3505,47.6621,45.6119
2,2,52.18724,20.94186,9539.7,327.0,LOT283,0,12.0,45.8671,1.9018,40.9607,49.9344,77.1419,1.5846,0.0,0.9984,0.0389,0.0152,0.088,0.4559,0.533,0.4617,0.4021,-46.0175,-44.4863,-48.3652,-0.4417,-0.1599,2.1529,225.9342,0.2053,746.9204,1652.3608,-2912.6921,1982.3216,925.6817,1469.7033,-901.8896,2122.8613,25077770.8878,20391962.3171,22808867.9583,22321879.0899,23953661.3522,23386351.9704,21754636.8175,22301682.7236,-2186766.955,1159859.8579,439829.8774,-959332.7655,752045.3549,-44358.1919,-627701.9296,507622.0925,852.2353,729.779,844.1044,761.2711,896.1049,838.774,803.6578,704.5636,938.9723,693.0838,843.788,674.8456,670.9967,802.7374,840.3258,696.2384,1565.3793,1485.1325,1749.229,1438.1966,1664.3502,1456.3875,1315.827,1692.0071,1551.8099,1219.8629,1594.3603,1391.0682,1364.7078,1515.3704,1747.6611,1655.1303,313.545,390.7081,205.4019,-153.1548,-295.3669,404.7698,-36.2813,334.0029,-0.0603,0.0085,0.0686,0.0015,-0.0115,-0.0056,-0.0371,0.0223,43.4821,45.9496,45.2717,46.1322,46.827,46.1873,43.3513,45.3698
3,3,52.19836,20.9293,9559.1,327.0,LOT283,0,10.0,45.0286,2.3346,39.6147,50.7908,90.2284,2.2815,0.0,1.0098,0.0626,-0.0032,0.1622,0.4635,0.5708,0.4409,0.3973,-45.9707,-45.2079,-48.0942,-0.9065,0.0365,1.9906,221.8169,-0.2129,1083.0159,969.8257,-3866.7284,682.4708,-43.7779,68.989,-57.0822,-3643.065,22807920.5576,22247307.6948,21600985.8644,22094963.6095,23342093.9051,19392588.2413,19697720.6064,20485441.6336,-1531426.7723,-17299.0678,-70305.1933,-551511.2135,759662.7909,-902325.7714,-1350719.3869,540036.2471,832.9799,1073.3569,741.5091,727.3843,644.7015,702.2048,715.1169,885.6653,775.4373,854.0315,794.0991,796.7068,852.4672,687.201,759.4884,750.1919,1474.502,1329.9241,1638.1881,1369.4546,1280.6838,1191.1683,1637.2197,1289.7099,1541.7024,1065.7536,1128.3561,1696.4996,1473.9568,1532.0041,1567.7548,1569.4093,187.9092,104.1567,565.7723,-176.888,-130.5376,-209.9142,-360.6468,-173.6902,-0.0016,0.0785,-0.0124,-0.0206,0.0273,-0.014,0.0688,0.0243,46.1439,43.7347,47.9218,42.1571,45.6969,43.4275,45.1642,41.8841
4,4,52.20948,20.91673,9577.9,327.0,LOT283,0,12.0,45.1813,1.8307,40.13,49.9214,77.8164,1.2573,0.0,0.9786,0.0675,0.0049,0.1025,0.5187,0.5619,0.3796,0.4002,-45.1039,-47.4529,-47.5619,3.3689,0.1111,1.2632,223.9787,0.1427,-1025.2308,3975.6058,930.1793,-1334.5217,2819.5857,225.4248,-567.4205,639.9797,22075852.0384,23046785.3181,21022722.8764,24332644.7762,21853850.3727,22257460.3156,22444834.053,22568576.3484,1517752.8694,-709606.0523,-92158.9852,-2323376.1713,1085691.6081,677401.0849,-495252.3267,2134310.1598,865.4249,844.1926,846.6469,744.0126,989.0456,852.7888,869.0891,552.4261,774.1626,685.0224,889.1855,738.1544,860.7593,879.9853,883.1753,911.7818,1639.7574,1711.7619,1592.8893,1747.5575,1503.3006,1578.4205,1357.3428,1546.3854,1465.5988,1251.3579,1592.2684,1563.4518,1562.3136,1287.1471,1420.1646,1264.4889,-313.8211,91.2913,-83.2382,158.3709,147.5106,-95.0609,-239.3434,117.7075,0.0068,-0.0197,-0.0609,0.0248,-0.0329,-0.0043,-0.0367,-0.0333,44.0759,46.8356,46.3811,45.5654,49.6174,47.8513,42.802,46.1655
5,5,52.2206,20.90416,9595.9,327.0,LOT283,0,9.0,43.6497,2.1097,38.7298,48.3426,94.3898,2.6102,0.0,0.9947,0.0467,0.0151,0.1365,0.4232,0.5137,0.4217,0.4019,-42.1753,-47.4449,-50.0721,0.652,0.1768,2.976,215.6799,0.2407,838.7958,2052.1004,-520.562,-1391.8074,-57.4452,-813.817,104.3677,-1154.5626,23153842.2019,21637942.5914,22334718.0379,21288351.0236,24723301.9019,21723816.1768,22145784.5176,22277886.7175,-1257322.3044,722919.0971,355098.2161,-60818.6708,-790155.3827,-420947.6146,54712.3992,-308138.2904,656.4181,779.5085,808.724,841.3064,711.8299,974.1413,742.8281,785.5926,728.1568,762.4586,655.319,679.6752,794.672,703.8685,793.7599,748.7589,1322.2785,1584.1454,1659.3719,1284.8432,1471.5328,1664.4422,1716.2533,1370.3198,1778.6333,1762.8824,1126.9588,1543.1713,1705.3035,1705.3553,1618.4952,1362.8889,-18.0766,44.1141,-257.4316,-61.2665,-182.5301,-159.332,285.2057,-101.7581,-0.0821,0.0131,0.0332,-0.0577,0.0469,0.0076,-0.002,0.0673,46.1768,47.4132,44.1563,45.2485,44.6972,46.2448,48.2284,43.054
6,6,52.23172,20.89159,9612.9,327.0,LOT283,0,11.0,45.2301,3.4136,40.3759,49.3418,79.591,1.9422,0.0,1.0321,0.0356,-0.0043,0.08,0.3447,0.5463,0.4218,0.4323,-47.2016,-47.7083,-49.2795,2.2731,0.3421,1.1968,226.0497,0.1227,-1991.276,-408.7335,1069.2887,-554.2713,-1803.6075,-1395.2044,300.9859,-511.3218,22954326.5416,22627517.2439,21473624.5205,20776396.8083,21696698.8487,20477200.797,24672345.4706,23266344.8757,-811178.8599,336359.3504,-284088.5943,-317600.5054,1760800.2636,321614.3014,1990656.6744,297435.6403,860.5022,917.3456,791.4805,626.0822,888.7727,725.7702,744.0564,823.694,998.4199,850.7247,910.2835,884.7641,890.3867,695.0701,868.1732,849.0248,1546.3668,1316.6106,1494.1338,1752.9019,1542.0169,1203.7416,1319.694,1491.1794,1333.4936,1458.128,1536.7813,1166.3896,1498.8079,1479.3972,1599.8807,786.9053,344.5331,-13.3199,103.6454,397.3052,-279.6064,-306.771,-204.5846,-384.7363,-0.0169,0.012,-0.0062,0.0373,0.0285,-0.1123,-0.0045,-0.0123,43.9488,46.01,44.0351,45.8487,46.0433,41.5919,46.356,47.0901
7,7,52.24284,20.87903,9628.8,327.0,LOT283,0,9.0,44.4701,2.6723,38.591,50.348,91.7206,2.4172,0.0,1.0007,0.0388,0.061,0.1062,0.4654,0.544,0.3886,0.4462,-45.1489,-44.7452,-46.3985,3.3194,0.09,1.4,215.4601,0.1773,-528.0715,659.655,82.4448,-1593.4939,-494.3639,3560.3513,-229.001,-1302.7855,20343028.3068,21309289.1893,21322355.8781,21409621.5358,21667426.6185,24001692.0144,19154929.5619,24636768.2478,481496.0949,205749.1703,259535.6173,1485172.4468,787829.4564,547888.3289,-679397.068,570041.8665,907.6332,725.7983,900.3691,716.4878,770.8844,792.7337,797.1374,692.0994,772.3024,621.5784,808.795,786.2919,758.3114,857.0592,885.3441,972.3364,1450.3303,1360.3304,1677.1031,1624.6678,1726.8619,1557.998,1598.156,1424.0341,1780.716,1165.5719,1573.2608,1972.8715,1684.209,1747.7728,1607.4141,1640.9955,99.2013,-94.4548,141.2054,-270.6535,101.1904,-209.7826,316.9339,362.6314,0.1072,-0.0128,-0.0214,0.029,-0.0155,0.0156,-0.0648,0.0325,44.6179,45.9826,48.7245,40.7642,41.9121,41.4947,42.2041,44.1476
8,8,52.25396,20.86646,9643.5,327.0,LOT283,0,12.0,47.442,2.4599,41.7645,52.2123,65.7495,2.1966,0.0,1.0473,0.0494,0.0619,0.0635,0.475,0.5733,0.4412,0.3636,-44.924,-44.6872,-47.9512,3.678,-0.1149,1.3807,221.714,-0.1093,1197.3458,1160.7272,-48.2785,332.3429,-407.8443,-543.1995,2285.9509,577.1602,24529596.4535,20486819.5685,19685598.1164,21268243.376,22035099.1368,22402392.2528,22868331.3142,23192401.7291,-558513.9671,-41593.4776,-41814.7653,2278724.7885,-1165632.9382,-601577.1855,-165789.7916,226583.1199,709.0883,807.9728,771.1905,725.5537,780.3044,844.1128,896.8022,925.6125,741.8493,795.8345,694.382,790.3365,843.5782,744.4665,651.7042,805.3547,1599.7708,1557.0655,1559.4016,1355.4198,1294.9429,1460.2848,1537.9531,1479.6119,1119.9426,1380.4245,1595.1389,1688.3599,1111.5278,1536.9142,1466.5483,1823.4042,272.8833,194.6577,-58.3484,152.5182,300.4892,134.5198,-115.8035,35.7498,0.0568,-0.0188,0.0019,-0.1238,-0.0104,0.0161,0.0156,0.0462,47.7699,45.6799,44.7701,45.3305,42.4863,45.597,47.1745,46.8273
9,9,52.26509,20.85389,9656.7,327.0,LOT283,0,12.0,47.8183,2.314,42.8001,52.2187,85.6645,2.5324,0.0,0.9882,0.0429,0.0221,0.078,0.4517,0.493,0.3831,0.3911,-44.3903,-45.5789,-49.1537,6.5879,0.501,2.5207,221.1763,-0.0055,-1035.0853,1141.1064,1228.5793,-2095.3105,-2063.5306,-1929.4811,-1260.0154,1246.4048,24437248.1065,23511581.2136,19514530.3388,23176705.0984,20844913.1234,21010112.4407,22277206.0477,19989352.4281,-2356198.5062,-258726.9774,-350578.3862,106260.0412,-235362.8496,-1459162.8786,1235257.9245,-158807.9672,927.2483,661.4903,690.5641,878.6478,873.7332,627.6774,704.3475,763.7811,821.3902,1031.4026,924.2658,720.785,683.4,809.4118,968.0693,527.7598,1366.7285,1351.0606,1339.3518,1492.5945,1716.4413,1667.9105,1562.6046,1378.6034,1282.748,1551.4504,1614.6956,1378.6198,1457.1137,1239.1372,1679.8931,1640.3813,-53.3447,-108.4974,-95.0732,-34.0662,141.624,-128.7797,-27.7864,-36.8086,-0.0251,0.0072,0.033,-0.0721,-0.0041,-0.0715,0.0417,0.0176,45.1358,44.8706,46.3444,44.571,41.601,44.873,44.5339,43.9903
